BertSumm summary specificity,T5 summary specificity,BertSumm summary ari,BertSumm summary perplexity,BertSumm Sentence length,T5 summary ari,T5 summary perplexity,T5 Sentence length
0.556803128953276,0.2723285186945831,19.3,2.0431813055093806,28,17.0,2.499336013852047,22
0.8983835802287178,0.8853414508691049,17.8,2.880904068173374,36,17.1,2.972382835356192,35
0.7677265784678314,0.6893135687905154,14.6,2.2083078708647643,26,13.4,2.9307737903895252,22
0.9977047456152022,0.9637749660182521,21.1,3.093231057121467,41,15.2,5.060888678992885,29
0.9309188263361172,0.8262750895830655,17.5,3.281255435148563,32,16.1,3.4080312450349215,29
0.9794535782095828,0.9222075583056516,19.0,3.142815552772758,32,15.9,3.6067840458257123,24
0.8922849129864974,0.8344321526843959,13.8,2.8578751439127417,27,12.4,3.3461869991649182,24
0.9918837144255926,0.95918993832606,16.3,2.6574608430280113,31,13.5,3.5393579516655556,25
0.998918315577886,0.9298744752585079,18.4,3.3197003416039403,38,16.3,5.385285260458888,19
0.9655778106169168,0.9400204991327924,19.7,2.8091189372293726,32,17.0,3.024315197168515,27
0.953988712629634,0.9799681623507416,15.6,3.189659006993159,29,16.6,2.905768662500389,28
0.8032818115302759,0.8660433678061765,13.1,1.9364335449632486,27,12.6,2.1296717406065144,30
0.8550185689958711,0.3155501402835993,14.2,3.1839992636866126,24,11.9,3.4856805545939444,19
0.9029513268015049,0.9412032647910368,14.0,3.1009410866087075,23,14.2,3.4666133210292087,23
0.7621333989477905,0.7368114586024013,15.3,3.2405002791475637,30,14.9,3.4660939015401553,26
0.11421041732292485,0.3566198136427283,10.9,2.5822570207665034,18,11.8,3.5460027390023967,16
0.9968922938402696,0.8851141428054085,18.9,3.1284714596796146,32,18.2,5.0281031501949345,22
0.9533694186014344,0.925679084701231,17.4,2.369754616012228,27,18.6,3.963644800945311,26
0.95734903764462,0.8962922586716204,21.2,2.252684560502417,32,18.0,2.9649104465250713,25
0.4664545204394706,0.6262519763243637,13.5,2.1155935432009096,23,13.8,3.178072607409994,22
0.9976754726596024,0.7334422100778819,23.0,2.642747518716568,41,12.3,5.203546389738564,18
0.9207147574928966,0.7386008198134614,15.7,2.3644755553303676,33,14.6,3.116298852206682,29
0.8874187073350699,0.9942455206963344,14.0,3.2274273636114414,24,19.7,3.5199429640075297,37
0.9978099955177484,0.9937978605585132,23.7,2.693716865226051,42,21.6,2.707903751989142,36
0.996025309147258,0.21582987518372648,25.1,2.6952559324025005,47,11.4,2.9424156821841523,19
0.9840802698875316,0.8223954213161213,18.7,3.42399303323578,37,17.7,4.744525646499516,27
0.9973504378099852,0.9832308265493646,21.9,2.563326619789501,40,18.7,2.6479612120451432,29
0.95462820088418,0.9346811106009968,15.5,3.12712989899735,23,14.6,3.4788207545582455,20
0.9897098671958862,0.93636346091779,20.5,4.713112511668822,43,19.0,6.450731651353918,35
0.8170373615103896,0.8165095507565878,12.5,2.461524165116877,27,3.5,2.438399314682604,9
0.3450671105321301,0.2747306696332318,13.4,2.3405480923713453,21,12.4,2.6938771069128307,22
0.9989132173822586,0.9340290950750968,22.6,3.0558438498179217,44,18.6,3.7536734680397426,27
0.9729946909661416,0.9276366895773746,18.1,2.8103367996410724,31,18.0,4.014989272735,28
0.8131245441747482,0.7957695652040813,15.4,2.9503483448594032,31,13.9,4.212100017986735,24
0.9901791612640999,0.9294967914813091,19.0,2.8682001610302863,32,18.0,3.2694883128801435,25
0.8731840257976523,0.8198804231455614,11.4,2.7783000866629486,22,12.8,6.5822069285380955,15
0.9989778570822572,0.8612299746975125,23.7,2.784817770799274,43,17.8,4.339755550577522,20
0.9996785348453372,0.8444379218095186,26.6,2.9585418576309093,53,17.3,3.7223675474663964,25
0.9781573817910594,0.9236231204760156,21.6,2.3821751002794245,35,18.5,2.625147915638907,28
0.7603580884678454,0.1264929177555843,17.1,2.4714178413387384,32,12.2,2.7222523256116182,18
0.9790484996634246,0.8246553263743824,17.4,2.09239994865075,34,14.4,2.34538003396721,24
0.4361052464085453,0.25125666248614065,11.9,2.8245930219424302,20,7.2,2.823916637025491,13
0.9993231507577144,0.58230794512662,18.8,5.432004978091518,51,13.8,5.045897682027122,19
0.9995790393665384,0.7796949814878187,25.5,3.478856834319645,50,16.7,3.150789270972189,26
0.6792634121845821,0.3254811933730484,16.1,2.725604709519145,22,16.0,2.760540562507886,16
0.928355914223992,0.6284722215793919,14.9,3.999236671789963,33,14.7,5.443299536004219,25
0.6216404829075038,0.8747785722366609,12.4,2.864528624442939,27,17.8,3.0431908151311133,36
0.9182091672367644,0.2159532400766808,13.7,3.442728166822486,31,8.5,2.823185555903658,18
0.870457225201232,0.8391533858855982,17.3,2.2445125462248714,26,14.7,3.063135320206458,20
0.9413002533418836,0.2447886581415497,17.1,3.140827150287086,31,13.4,2.994910687507719,16
0.9946095240073553,0.5744874623270385,19.5,3.302578277857121,40,13.4,5.094061657659387,24
0.996020435310206,0.15790379379094238,19.5,3.7467342181137124,41,11.8,4.056923619787239,15
0.9905775285319456,0.9458150486261648,16.3,2.9482093235056075,31,15.3,3.172882358673011,25
0.8036037703658787,0.7557151166890683,13.1,2.4976255066444555,24,14.4,2.6403830988036803,22
0.814883921788494,0.5952733669422168,16.9,2.9375343046896214,17,19.2,3.3973521680024263,10
0.9998603316460524,0.5452409184008797,26.4,3.702549336068561,65,12.0,4.623018381264069,22
0.9521827761908052,0.6948232401313956,16.4,3.199154321534609,30,13.1,2.906566865311385,20
0.9741710032961396,0.9148513216656656,20.1,3.091788875204232,41,17.6,2.818571528659895,28
0.9979660986881368,0.9447717535386994,22.5,2.959763460251079,45,22.6,2.4184523446282897,37
0.9490122094852844,0.15536079284750334,19.6,2.6157503853775697,38,11.5,3.2151866844495887,13
0.9750822601638756,0.7621380256224085,19.8,2.3855091961681394,35,15.6,2.752384816757731,25
0.8858016552779364,0.6075888528057188,18.2,3.0119000630800308,32,16.4,2.771146797830321,29
0.7287466555834569,0.1060079097679077,11.1,3.0616250497815503,20,7.6,2.3892794283185066,18
0.9998479029672084,0.21193641866497334,24.3,4.118737381760101,56,8.2,7.342975448232094,14
0.9991369011123988,0.10042697429747237,22.6,2.731936895813768,49,11.3,4.072755846146603,13
0.999988819921245,0.971727613293766,33.6,3.692952108074604,64,19.9,4.535176248706028,23
0.929102571691194,0.5783553629258577,18.9,3.194808907044616,32,16.9,3.7368286781134064,25
0.9256275843584506,0.9974745761726828,16.1,2.067272580448228,31,21.4,2.16074724518476,37
0.9936365408134508,0.973325848316962,18.9,4.898771647179339,34,18.8,5.35623423918564,31
0.9996397057268048,0.9338003304752654,27.1,5.003861637606702,48,20.5,8.241653196469569,26
0.9976862635572824,0.3864568094889035,23.1,3.2410585274560066,45,11.8,2.8468561945323483,24
0.9996814654947168,0.9807648437626586,24.3,4.843673571515716,48,19.6,5.117500370707231,27
0.8983688806964573,0.08246202643298745,20.0,2.432052455538789,39,10.6,2.3814700887377023,24
0.9988033526530412,0.8660453087833926,24.1,3.1604329667655975,49,16.0,3.0460933230063603,27
0.8218540399773249,0.5208940774146378,13.8,3.6570871861957275,30,12.3,3.6654632483563914,23
0.9909362240910102,0.3663035336047181,16.8,2.276049398884284,36,8.1,3.465249855947218,18
0.9926425350133949,0.6727510123713755,19.6,3.404482303242328,35,13.8,3.1092258863472098,22
0.999891417900847,0.9871654512577571,30.9,2.860541567870931,63,21.9,3.3393477361647084,41
0.9980749716317144,0.02282099994088188,21.8,3.9898947935157145,46,9.6,3.8018792043495644,16
0.9842133688907676,0.8188512388300859,17.6,3.216686042494417,32,15.8,2.9296455248802507,26
0.6585052457230473,0.3493926651591308,15.5,2.505164178835418,25,12.4,3.395721640762237,18
0.9944159584261532,0.8244555446698557,20.2,2.816080183035352,36,15.5,3.3561990938604547,21
0.8424264679991789,0.49506731219513295,15.0,2.428676035951127,26,16.6,2.6235678776687603,18
0.9980300172804788,0.9712669567862876,19.7,3.396524862047506,37,17.7,4.356063675558653,27
0.9864675780747668,0.9119853157051574,17.8,3.6665837780336217,33,14.6,3.1586578287369877,26
0.989891659577495,0.07993259350399308,21.9,3.0460570109607032,39,11.4,3.3296998695865705,19
0.987959841089565,0.7640787608287715,17.1,3.5182863144831114,35,13.8,3.8718362991906816,24
0.9962752129971768,0.6942049468313389,20.4,4.128200810280363,40,13.6,4.071407321750562,11
0.9910632747781914,0.14647557984637946,22.0,2.868052115178397,41,13.7,3.5456185105517686,18
0.9997875942849892,0.9398303728008544,29.2,2.7019174614249426,48,19.1,3.8710484983836917,27
0.9724840200856792,0.6980577048192161,20.5,3.1353205828729056,36,18.7,3.0951815788847643,22
0.999005408460972,0.1772420569965018,25.9,3.3814984484874286,48,8.7,2.9511696995194763,18
0.8945882696632066,0.5225119675074005,14.5,3.390700959026899,29,13.7,3.7176207751652095,14
0.9704001655632996,0.9414258409748724,16.8,3.494960350621934,30,7.6,5.125721338399326,33
