BertSumm summary specificity,T5 summary specificity,BertSumm summary ari,BertSumm summary perplexity,BertSumm Sentence length,T5 summary ari,T5 summary perplexity,T5 Sentence length
0.9999533758636953,0.8626342029217902,34.8,2.5812875413737593,65,13.8,2.483627473512183,21
0.9999583309896132,0.9968107597000857,30.4,4.765846437479569,61,22.9,4.476481470492955,41
0.9977827040535602,0.9803213192946698,23.6,2.227609438764441,46,21.8,2.5223132622614592,40
0.9995378017897648,0.28218781817183786,23.9,4.855034152259057,56,8.5,20.281475402998527,11
0.8788389835447071,0.8617973801801109,13.8,2.576582434212639,32,14.4,3.3872112500972986,28
0.1876441711219176,0.5495015623592867,8.7,3.762081935216973,18,14.6,3.5846690851661474,23
0.9953388118897429,0.9814037219558278,24.2,1.9806353515978061,45,20.9,2.441197404371042,37
0.9999991831541535,0.9972944157760468,44.1,2.433338750129617,88,25.6,2.874600781392892,40
0.9978672773783932,0.9403760898580414,23.3,2.984054475392725,46,14.4,4.440549315815067,22
0.9969580003870107,0.9142457914999701,24.2,3.431290338073861,42,21.7,3.4949195209498716,28
0.9947879132937283,0.9873874787450343,20.7,3.0957933988958883,42,20.6,3.200009083439401,38
0.9424724469059681,0.8925991544740818,21.0,2.666255627064677,31,22.0,2.9712902650730615,27
0.9899968791312866,0.9833914174818216,18.9,2.9827602655249086,37,19.9,2.8549926977324076,29
0.9979645079825574,0.781801441302044,19.9,3.0672076682382334,45,14.0,2.810250031252975,30
0.9997026413263517,0.9767897083267627,25.6,2.46547831404349,52,20.4,3.1187126255958573,31
0.99188198140626,0.8210141512047915,19.3,2.775357285579719,34,13.0,2.7781881435955427,19
0.9983115442908228,0.9904072015463065,28.4,2.4033160531740068,55,23.5,2.553352636831861,36
0.9951646958942818,0.8969464432101981,24.2,2.7848977782002167,46,19.3,2.868734967670154,31
0.9955117794100318,0.9950636101585644,26.7,2.099118728168828,49,26.7,2.104981259682495,47
0.44130185983918485,0.44924412755815546,13.5,2.1712199052101893,23,14.2,2.5692188577353816,22
0.9366472277122391,0.6693726419882576,18.7,2.345671945227097,34,15.5,2.9513442008726054,23
0.8773844223273708,0.5268691321292419,17.3,2.6665946275751855,28,15.9,2.7184597346812156,23
0.25821164861207635,0.9519466706839973,10.6,2.5800948119586007,22,20.0,3.094948395849976,28
0.9931006075857971,0.8015635625262982,21.0,2.9424118237905685,41,14.9,2.276779247778183,20
0.9907920470768781,0.6600146664535329,21.2,3.0011235789901374,40,13.2,4.723141456945655,18
0.9836074551816001,0.997119833718164,23.6,2.5414456150859728,31,22.5,3.0763960335275433,43
